cycle,gamma_ve,Gamma_ve,gap,well,minimal_set_count,mode
C3,1,1,0,yes,3,full
C4,1,1,0,yes,4,full
C5,2,2,0,yes,10,full
C6,2,2,0,yes,9,full
C7,2,2,0,yes,7,full
C8,2,3,1,no,12,full
C9,3,3,0,yes,30,full
C10,3,4,1,no,30,full
C11,3,4,1,no,44,full
C12,3,4,1,no,61,full
C13,4,5,1,no,78,full
C14,4,5,1,no,133,full
C15,4,6,2,no,178,full
C16,4,6,2,no,236,full
C17,5,6,1,no,340,full
C18,5,7,2,no,486,full
C19,5,7,2,no,684,full
C20,5,8,3,no,974,full
C21,6,8,2,no,1354,light
C22,6,8,2,no,1892,light
C23,6,9,3,no,2714,light
C24,6,9,3,no,3813,light
C25,7,10,3,no,5360,light
C26,7,10,3,no,7566,light
C27,7,10,3,no,10641,light
C28,7,11,4,no,15033,light
C29,8,11,3,no,21228,light
C30,8,12,4,no,29874,light
C31,8,12,4,no,42098,light
C32,8,12,4,no,59404,light
C33,9,13,4,no,83735,light
C34,9,13,4,no,118082,light
C35,9,14,5,no,166477,light
C36,9,14,5,no,234610,light
C37,10,14,4,no,330854,light
C38,10,15,5,no,466526,light
C39,10,15,5,no,657660,light
C40,10,16,6,no,927222,light
C41,11,16,5,no,1307244,light
C42,11,16,5,no,1843018,light
C43,11,17,6,no,2598576,light
C44,11,17,6,no,3663620,light
C45,12,18,6,no,5165035,light
C46,12,18,6,no,7282168,light
C47,12,18,6,no,10266962,light
C48,12,19,7,no,14475077,light
C49,13,19,6,no,20408115,light
C50,13,20,7,no,28772580,light
